Set,Price_Euro,Pieces,Minifigs
The End Battle,19.99,222.0,2.0
The Pirate Ship Adventure,39.99,386.0,3.0
The Wool Farm,19.99,260.0,1.0
The Blaze Bridge,29.99,372.0,4.0
The Creeper Mine,79.99,834.0,4.0
The Flintstones,59.99,748.0,4.0
Steamboat Willie,89.99,751.0,2.0
Tree House,249.99,3036.0,4.0
Central Perk,59.99,1070.0,7.0
Dinosaur Fossils,59.99,910.0,2.0
My First Duck,,6.0,
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,3.99,44.0,1.0
Fire ATV,,39.0,1.0
Sky Police Jetpack,3.99,33.0,2.0
Race Boat,3.99,34.0,1.0
Popcorn Cart,,43.0,1.0
Space Satellite,3.99,36.0,1.0
Naboo Starfighter,,48.0,
Snowspeeder,,49.0,
Minecraft Steve and Creeper Set,,36,2.0
Tulips,,90,
Emma's Bumper Cars,3.99,66,1.0
Mia's Water Fun,3.99,28,1.0
Spider-Man's Mini Spider Crawler,,73,1.0
Iron Man and Dum-E,,38,1.0
Rex's Plantimal Ambush,3.99,32,1.0
Podracer,,58,
Lucy vs. Alien Invader,,44,1.0
Mini Master-Building MetalBeard,4.99,42,1.0
Mini Master-Building Emmet,3.89,49,1.0
Sam-X,,56,
Ninja Workout,,31,1.0
Fire Flight,,54,1.0
Fish Free Builds - Make It Yours,,39,
Elsa's Winter Throne,3.99,42,1.0
Pelican,3.99,62,
Race Car,3.99,68,
Santa,,67,
Star-Stuck Emmet,,41,1.0
SHAZAM!,,5,1.0
Obi-Wan Kenobi - Collectable Minifigure,3.99,12,1.0
Futuristic Flyer,14.99,157,
Dune Buggy,12.99,147,
Deep Sea Creatures,14.99,230,
Sunset Track Racer,19.99,221,
Underwater Robot,19.99,207,
Shuttle Transporter,24.99,341,
Helicopter Adventure,9.99,114,
Riverside Houseboat,39.99,396,2.0
Race Plane,29.99,333,1.0
Fairground Carousel,49.99,595,3.0
Twin-Rotor Helicopter,59.99,569,1.0
Townhouse Pet Shop & Café,79.99,969,3.0
Outback Cabin,29.99,305,2.0
Year of the Pig,9.99,152,
MSC Cruises,,181,
Jet Fighter,,23,
Caterpillar,,48,
Viking Ship,,54,
Ladybird,,27,
Crane,,64,
Frog,,39,
Ice Cream Truck,,48,
Racing Car,,50,
Eagle,,56,
UFO,,36,
Wolf,,47,
Penguin,,47,
Battle of Hoth - 20th Anniversary Edition,,195,
Avengers Tower,19.99,211,1.0
Space Rocket Ride,,154,1.0
Newbury Juice Bar,12.99,127,2.0
Microscale Gingerbread House,19.48,499,
Christmas Tree,,392,
Sea Accessories,3.99,24,
NINJAGO Minifigure Set,12.99,59,4.0
Spider-Man and the Museum Break-In,14.99,49,3.0
Summer Celebration Minifigure Pack,12.99,45,4.0
Mars Exploration Minifigure Pack,12.99,44,4.0
LEGOLAND Park,,1336,11.0
LEGOLAND Driving School Cars,,209,4.0
Birthday Clown,9.99,150,
Valentine's Puppy,9.99,147,
Easter Chick,9.99,120,
Halloween Ghost,9.99,136,
Thanksgiving Scarecrow,9.99,177,
"Reindeer, Elf and Elfie",19.99,281,
Dragon Dance Guy,9.99,170,
LEGO House Exclusive Minifigure 2019,,7,1.0
LEGO Store Picture Frame,14.99,170,1.0
Name Sign,9.99,91,
Olaf's Traveling Sleigh,,97,1.0
Battle of Endor,,197,
LEGO House Dinosaurs,,864,
Lady Liberty,9.99,153,
Xmas Accessories,3.99,32,1.0
Rebuild the World minifigure,,6,
1989 Batmobile - Limited Edition,,366,
Reindeer,,77,
Plants from Plants,,29,
Jasmine's Petite Tower,9.99,49,1.0
Cinderella's Carriage Ride,19.99,91,1.0
Ariel's Castle,24.99,115,1.0
Aladdin's and Jasmine's Palace Adventures,29.99,193,2.0
"Ariel, Aurora, and Tiana's Royal Celebration",39.99,282,3.0
Rapunzel's Small Tower,9.99,44,1.0
Enchanted Treehouse,49.99,302,3.0
Anna's Canoe Expedition,19.99,108,2.0
Elsa and the Reindeer Carriage,29.99,116,1.0
Arendelle Castle Village,79.99,521,3.0
Elsa's Jewellery Box Creation,39.99,300,1.0
Olaf,14.99,122,
Underwater Loop,29.99,389,2.0
Andrea's Heart Box,7.99,84,1.0
Emma's Heart Box,7.99,85,1.0
Stephanie's Heart Box,7.99,85,1.0
Olivia's Heart Box,7.99,85,2.0
Mia's Heart Box,7.99,83,1.0
Heart Box Friendship Pack,19.99,199,2.0
Emma's Mobile Veterinary Clinic,9.99,50,1.0
Mia's Foal Stable,19.99,118,1.0
Heartlake City Supermarket,29.99,140,2.0
Mia's Forest Adventure,14.99,134,1.0
Stephanie's Buggy & Trailer,19.99,166,1.0
Emma's Art Studio,24.99,235,2.0
Olivia's Cupcake Cafe,29.99,335,2.0
Stephanie's Horse Jumping,39.99,337,2.0
Andrea's Talent Show,49.99,492,2.0
Mia's House,69.99,715,3.0
Mia's Horse Trailer,29.99,216,2.0
Stephanie's Gymnastics Show,29.99,241,2.0
Funny Octopus Ride,39.99,324,2.0
Andrea's Pool Party,49.99,468,2.0
Heartlake City Amusement Pier,129.99,1251,7.0
Turtles Rescue Mission,19.99,225,2.0
Dolphins Rescue Mission,39.99,363,2.0
Heartlake City Restaurant,59.99,624,3.0
Lighthouse Rescue Centre,59.99,602,2.0
Rescue Mission Boat,89.99,908,4.0
LEGO Friends Advent Calendar,29.99,330,3.0
Olivia's Hamster Playground,9.99,81,1.0
Andrea's Summer Heart Box,7.99,83,1.0
Emma's Summer Heart Box,7.99,86,1.0
Stephanie's Summer Heart Box,7.99,95,1.0
Olivia's Summer Heart Box,7.99,93,2.0
Mia's Summer Heart Box,7.99,85,1.0
Emmet,14.99,113,
Wyldstyle,14.99,134,
Benny,9.99,103,
Sweet Mayhem,9.99,137,
Cherry Picker,9.99,155,
Power Boat,14.99,174,
Getaway Truck,19.99,128,
Police Pursuit,19.99,120,
Rescue Helicopter,39.99,325,
Chevrolet Corvette ZR1,49.99,579,
Tracked Loader,79.99,827,
Remote-Controlled Stunt Racer,99.99,324,
Porsche 911 RSR,179.99,1580,
Compact Crawler Crane,99.99,920,
Car Transporter,179.99,2493,
4x4 X-Treme Off-Roader,249.99,958,
Liebherr R 9800,449.99,4108,
Land Rover Defender,199.99,2573,
Elsa's Ice Palace,79.99,701,7.0
City Shaper Challenge Kit,,2238,1.0
BOOMTOWN BUILD Inspire Set,,739,
BOOMTOWN BUILD Discovery Set,,78,4.0
Ski Resort,89.99,806,11.0
Jet Patrol,9.99,54,2.0
Sky Police Drone Chase,29.99,192,3.0
Parachute Arrest,39.99,218,4.0
Diamond Heist,59.99,400,4.0
Air Base,89.99,529,6.0
Barbecue Burn Out,9.99,64,2.0
Dock Side Fire,19.99,97,2.0
Burger Bar Fire Rescue,39.99,327,3.0
Fire Station,69.99,509,4.0
Downtown Fire Brigade,99.99,943,7.0
Fire Plane,59.99,363,3.0
Desert Rally Racer,9.99,75,1.0
Construction Loader,9.99,88,1.0
Garbage Truck,19.99,90,2.0
Diving Yacht,19.99,148,2.0
Snow Groomer,19.99,197,2.0
Harvester Transport,29.99,358,3.0
Satellite Service Mission,9.99,84,1.0
Rover Testing Drive,29.99,202,2.0
Mars Research Shuttle,39.99,273,2.0
Lunar Space Station,59.99,412,5.0
Deep Space Rocket and Launch Control,99.99,837,7.0
Rocket Assembly & Transport,149.99,1055,8.0
People Pack - Space Research and Development,39.99,209,15.0
Fire Chief Response Truck,29.99,201,2.0
Garage Centre,49.99,234.0,4.0
Donut Shop Opening,89.99,790.0,10.0
People Pack - Fun Fair,39.99,183.0,14.0
LEGO City Advent Calendar,29.99,234.0,8.0
Straight & T-Junction,14.99,2.0,
Curves & Crossroad,14.99,2.0,
Police Patrol Car,9.99,92.0,1.0
Kayak Adventure,9.99,84.0,1.0
Bonus/Value pack,,218.0,
Bonus/Value pack,,125.0,
2-in-1 Value Pack: Star-Lord & Gamora,,249.0,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
J.B.'s Ghost Lab,19.99,174.0,3.0
Wrecked Shrimp Boat,29.99,310.0,4.0
Graveyard Mystery,29.99,335.0,4.0
El Fuego's Stunt Truck,39.99,428.0,4.0
Shrimp Shack Attack,49.99,579.0,5.0
Paranormal Intercept Bus 3000,59.99,689.0,5.0
Ghost Train Express,79.99,698.0,6.0
Newbury Haunted High School,129.99,1474.0,8.0
Spinjitzu Kai,9.99,97.0,1.0
Spinjitzu Jay,9.99,97.0,1.0
Spinjitzu Zane,9.99,109.0,1.0
Spinjitzu Cole,9.99,117,1.0
Spinjitzu Nya & Wu,19.99,227,2.0
Spinjitzu Lloyd vs. Garmadon,19.99,208,2.0
The Samurai Mech,14.99,154,3.0
The Golden Dragon,19.99,171,3.0
Kai's Blade Cycle & Zane's Snowmobile,29.99,376,4.0
Jay's Storm Fighter,39.99,490,4.0
Cole's Earth Driller,49.99,587,4.0
Monastery of Spinjitzu,79.99,1070,8.0
Lloyd's Journey,14.99,81,2.0
Cole's Dirt Bike,19.99,212,3.0
Shuricopter,29.99,361,3.0
Fire Fang,39.99,463,4.0
Katana 4X4,49.99,450,5.0
Lloyd's Titan Mech,79.99,876,6.0
Land Bounty,129.99,1178,9.0
Castle of the Forsaken Emperor,99.99,1218,7.0
The Ultra Dragon,84.99,951,6.0
Monastery Training,9.99,122,2.0
Spinjitzu Slam - Lloyd,9.99,70,1.0
Spinjitzu Slam - Jay,9.99,72,1.0
Spinjitzu Slam - Zane,9.99,63,1.0
Spinjitzu Slam - Kai vs. Samurai,19.99,164,2.0
LEGO Movie Maker,49.99,482,6.0
Emmet and Benny's 'Build and Fix' Workshop!,19.99,117,2.0
Unikitty's Sweetest Friends EVER!,9.99,76.0,3.0
Emmet's Thricycle!,14.99,174.0,1.0
Introducing Queen Watevra Wa'Nabi,19.99,115.0,4.0
Queen Watevra's Build Whatever Box!,39.99,455.0,
Rex's Rex-treme Offroader!,29.99,236.0,2.0
Ultrakatty & Warrior Lucy!,29.99,348.0,2.0
Pop-Up Party Bus,79.99,1024.0,4.0
Emmet and Lucy's Escape Buggy!,49.99,550.0,4.0
Sweet Mayhem's Systar Starship!,69.99,502.0,3.0
Emmet's Dream House/Rescue Rocket!,69.99,706.0,4.0
Emmet's Builder Box!,29.99,125.0,1.0
Lucy's Builder Box!,29.99,141.0,2.0
MetalBeard's Heavy Metal Motor Trike!,59.99,461.0,2.0
Rex's Rexplorer!,119.99,1187.0,2.0
Battle-Ready Batman and MetalBeard,19.99,168.0,2.0
Shimmer & Shine Sparkle Spa!,69.99,691.0,8.0
Queen Watevra's 'So-Not-Evil' Space Palace,99.99,995.0,5.0
The Rexcelsior!,149.99,1826.0,4.0
Welcome to Apocalypseburg!,299.99,3178.0,13.0
Benny's Space Squad,9.99,68.0,5.0
Emmet's Triple-Decker Couch Mech,29.99,312.0,3.0
Good Morning Sparkle Babies!,9.99,50.0,4.0
Systar Party Crew,19.99,196.0,2.0
Wyld-Mayhem Star Fighter,49.99,405.0,4.0
LEGO Minifigures - The LEGO Movie 2 Series {Random bag},3.99,,
Awesome Remix Emmet,3.99,7.0,1.0
Battle-Ready Lucy,3.99,8.0,1.0
Apocalypse Benny,3.99,8.0,1.0
Giraffe Guy,3.99,6.0,1.0
Crayon Girl,3.99,6.0,1.0
Sherry Scratchen-Post & Scarfield,3.99,6.0,1.0
Hula Lula,3.99,8.0,1.0
Watermelon Dude,3.99,6.0,1.0
Flashback Lucy,3.99,7.0,1.0
Swamp Creature,3.99,6.0,1.0
Candy Rapper,3.99,8.0,1.0
Gone Golfin' President Business,3.99,6.0,1.0
Apocalypseburg Abe,3.99,7.0,1.0
Vest Friend Rex,3.99,6.0,1.0
Kitty Pop,3.99,7.0,1.0
Dorothy Gale & Toto,3.99,7.0,1.0
Cowardly Lion,3.99,6.0,1.0
Scarecrow,3.99,6.0,1.0
Tin Man,3.99,8.0,1.0
Unikitty,3.99,15.0,1.0
LEGO Minifigures - The LEGO Movie 2 Series - Complete,,144.0,20.0
LEGO Minifigures - The LEGO Movie 2 Series - Sealed Box,3.99,,
LEGO Minifigures - Disney Series 2 {Random bag},,,
Vintage Mickey,3.99,6.0,1.0
Vintage Minnie,3.99,7.0,1.0
Huey Duck,3.99,7.0,1.0
Dewey Duck,3.99,7.0,1.0
Louie Duck,3.99,8.0,1.0
Scrooge McDuck,3.99,8.0,1.0
Chip,3.99,6.0,1.0
Dale,3.99,5.0,1.0
Elsa,3.99,7.0,1.0
Anna,3.99,8.0,1.0
Jafar,3.99,8.0,1.0
Jasmine,3.99,6.0,1.0
Hades,3.99,6.0,1.0
Hercules,3.99,8.0,1.0
Sally,3.99,7.0,1.0
Jack Skellington,3.99,10.0,1.0
Edna Mode,3.99,8.0,1.0
Frozone,3.99,7.0,1.0
LEGO Minifigures - Disney Series 2 - Complete,,129.0,18.0
LEGO Minifigures - Disney Series 2 - Sealed Box,3.99,,
LEGO Minifigures - Series 19 {Random Bag},3.99,,
Video Game Champ,3.99,7.0,1.0
Shower Guy,3.99,8.0,1.0
Fright Knight,3.99,9.0,1.0
Monkey King,3.99,12.0,1.0
Programmer,3.99,10.0,1.0
Mummy Queen,3.99,6.0,1.0
Jungle Explorer,3.99,8.0,1.0
Fire Fighter,3.99,6.0,1.0
Dog Sitter,3.99,9.0,1.0
Pizza Costume Guy,3.99,6.0,1.0
Galactic Bounty Hunter,3.99,8.0,1.0
Gardener,3.99,7.0,1.0
Rugby Player,3.99,6.0,1.0
Fox Costume Girl,3.99,8.0,1.0
Bear Costume Guy,3.99,7.0,1.0
Mountain Biker,3.99,10.0,1.0
LEGO Minifigures - Series 19 - Complete,3.99,127.0,16.0
LEGO Minifigures - Series 19 - Sealed Box,,,
Disney Train and Station,329.99,2925.0,5.0
Naboo Starfighter Microfighter,9.99,62.0,1.0
Sith Infiltrator Microfighter,9.99,92.0,1.0
Elite Praetorian Guard Battle Pack,14.99,109.0,5.0
Inferno Squad Battle Pack,14.99,118.0,4.0
Darth Vader Bust,39.99,327.0,
Escape Pod vs. Dewback Microfighters,19.99,177.0,3.0
Death Star Escape,29.99,329.0,4.0
Kylo Ren & Sith Trooper,19.99,240.0,
Droid Gunship,49.99,389.0,4.0
AT-AP Walker,59.99,689.0,5.0
X-wing Starfighter Trench Run,29.99,132.0,3.0
Duel on Starkiller Base,19.99,191.0,2.0
TIE Fighter Attack,19.99,77,2.0
Action Battle Endor Assault,29.99,193,2.0
Action Battle Hoth Generator Attack,29.99,235,2.0
Major Vonreg's TIE Fighter,69.99,496,4.0
Action Battle Echo Base Defense,59.99,504,6.0
Black Ace TIE Interceptor,49.99,396,3.0
Slave I - 20th Anniversary Edition,119.99,1007,5.0
Tantive IV,199.99,1768,6.0
LEGO Star Wars Advent Calendar,39.99,280,9.0
Death Star Cannon,19.99,159,2.0
Rebel A-wing Starfighter,14.99,62,2.0
Resistance A-wing Starfighter,29.99,269,2.0
Resistance Y-wing Starfighter,69.99,578,5.0
Pasaana Speeder Chase,39.99,373,4.0
Darth Vader's Castle,129.99,1060,6.0
Imperial Star Destroyer,699.99,4784,2.0
Droid Commander,199.99,1177,
AT-ST Raider,49.99,540,4.0
Yoda,99.99,1771,1.0
Kylo Ren's Shuttle,129.99,1005,6.0
Millennium Falcon,169.99,1351,7.0
Anakin's Podracer – 20th Anniversary Edition,29.99,279,3.0
Snowspeeder – 20th Anniversary Edition,39.99,309,4.0
Clone Scout Walker  – 20th Anniversary Edition,29.99,250,5.0
Imperial Dropship  – 20th Anniversary Edition,19.99,125,5.0
Mini Boost Droid Commander,,62,3.0
The Upside Down,199.99,2287,8.0
Ferrari F40 Competizione,14.99,198,1.0
Chevrolet Camaro ZL1 Race Car,14.99,198,1.0
McLaren Senna,14.99,219,1.0
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,29.99,478,3.0
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,49.99,481,4.0
1974 Porsche 911 Turbo 3.0,14.99,180,1.0
Dilophosaurus on the Loose,19.99,168,3.0
Baryonyx Face-Off: The Treasure Hunt,59.99,434,4.0
Jurassic Park: T. rex Rampage,249.99,3120,6.0
Triceratops Rampage,59.99,447,4.0
T. rex vs Dino-Mech Battle,89.99,716,4.0
Expecto Patronum,19.99,121,4.0
Hungarian Horntail Triwizard Challenge,29.99,265,4.0
Hagrid's Hut: Buckbeak's Rescue,59.99,496,6.0
Hogwarts Clock Tower,89.99,922,8.0
The Knight Bus,39.99,403,3.0
Beauxbatons' Carriage: Arrival at Hogwarts,49.99,430,4.0
LEGO Harry Potter Advent Calendar,39.99,305,8.0
The Rise of Voldemort,19.99,184,6.0
Tracer vs. Widowmaker,14.99,129,2.0
Hanzo vs. Genji,19.99,197,3.0
Dorado Showdown,29.99,419,3.0
D.Va & Reinhardt,39.99,455,2.0
Bastion,49.99,602,
Watchpoint: Gibraltar,89.99,730,4.0
Wrecking Ball,19.99,227,1.0
Junkrat & Roadhog,49.99,380,2.0
Spider-Man Bike Rescue,19.99,235,3.0
Spider-Man's Spider Crawler,39.99,418,4.0
Spider Mech vs. Venom,49.99,604,4.0
Batman Batsub and the Underwater Clash,19.99,174,3.0
Batman Mech vs. Poison Ivy Mech,39.99,375,4.0
Mr. Freeze Batcycle Battle,19.99,200,3.0
Batmobile: Pursuit of The Joker,29.99,342,2.0
Batwing and The Riddler Heist,49.99,489,4.0
Batcave Clayface Invasion,99.99,1038,6.0
Captain America: Outriders Attack,19.99,167,4.0
War Machine Buster,34.99,362,4.0
Iron Man Hall of Armor,59.99,524,6.0
Avengers Ultimate Quinjet,79.99,838,6.0
Captain Marvel and The Skrull Attack,29.99,307,3.0
Molten Man Battle,29.99,294,3.0
Hydro-Man Attack,39.99,471,4.0
Stark Jet and the Drone Attack,69.99,504,4.0
Avengers Compound Battle,99.99,699,7.0
Spider-Man Car Chase,9.99,52,2.0
Spider-Man: Doc Ock Diamond Heist,29.99,150,3.0
Batman vs. The Riddler Robbery,9.99,59,2.0
Batman and The Joker Escape,39.99,171,4.0
1989 Batmobile,249.99,3306,3.0
Avengers Hulk Helicopter Rescue,59.99,482,5.0
Sith Trooper Bust,,484,
Captain Marvel and the Asis,,271,2.0
The Dark Knight of Gotham City,,427,1.0
Chinese New Year's Eve Dinner,,615,6.0
Dragon Dance,,622,5.0
Dragon Boat Race,49.99,643,15.0
Koi,44.99,293,
Shark Skin,14.99,31,
Splash Koi Skin,14.99,33,
Ink Koi Skin,14.99,33,
Boost Hub,79.99,1,
Colour & Distance Sensor,13.99,1,
Medium Linear Motor,16.99,1,
Train Motor,13.99,7,
Garmadon,,10,1.0
Garmadon,,10,1.0
Wu,,6,1.0
Wu,,6,1.0
Kai vs. Wyplash,,13,2.0
Kai vs. Wyplash,,13,2.0
Jay Vs. Lasha,,12,2.0
Jay vs. Lasha,,12,2.0
